entidad,mdd_4t,rank,periodo_corte
Ciudad de México,14912.57,1,2024-T2
Estado de México,2270.41,2,2024-T2
Nuevo León,2132.41,3,2024-T2
Chihuahua,1898.28,4,2024-T2
Baja California,1751.40,5,2024-T2
Jalisco,1619.73,6,2024-T2
Querétaro,1331.90,7,2024-T2
Quintana Roo,965.04,8,2024-T2
Baja California Sur,834.61,9,2024-T2
San Luis Potosí,832.00,10,2024-T2
Guanajuato,826.29,11,2024-T2
Tabasco,702.82,12,2024-T2
Aguascalientes,583.70,13,2024-T2
Zacatecas,509.65,14,2024-T2
Sinaloa,508.89,15,2024-T2
Tamaulipas,503.53,16,2024-T2
Puebla,352.61,17,2024-T2
Nayarit,284.22,18,2024-T2
Colima,267.00,19,2024-T2
Sonora,238.91,20,2024-T2
Hidalgo,226.67,21,2024-T2
Veracruz,218.30,22,2024-T2
Campeche,214.35,23,2024-T2
Morelos,196.50,24,2024-T2
Michoacán,166.68,25,2024-T2
Yucatán,160.65,26,2024-T2
Tlaxcala,160.45,27,2024-T2
Durango,154.73,28,2024-T2
Coahuila,112.33,29,2024-T2
Chiapas,88.12,30,2024-T2
Oaxaca,60.75,31,2024-T2
Guerrero,42.31,32,2024-T2
