sector,monto_mdd,periodo
Manufactura,8793.35,2024-T2
Alojamiento/Alimentos,2444.18,2024-T2
Minería,1172.48,2024-T2
Comercio Menor,918.35,2024-T2
Serv. Profesionales,580.51,2024-T2
Info. Medios,356.69,2024-T2
Inmobiliarios,126.84,2024-T2
Agroindustria,67.14,2024-T2
Apoyo Negocios,33.62,2024-T2
Comercio Mayor,29.58,2024-T2
Otros Servicios,17.56,2024-T2
Corporativos,0.0,2024-T2
Salud,0.0,2024-T2
Cultura/Deporte,0.0,2024-T2
Educación,0.0,2024-T2
Transporte/Logística,-32.44,2024-T2
Elec./Agua/Gas,-69.33,2024-T2
Construcción,-1225.11,2024-T2
Serv. Financieros,-3181.31,2024-T2
