fecha_fmt,anio,trimestre,valor
2005-T1,2005,1,42106336
2005-T2,2005,2,42219007
2005-T3,2005,3,43047402
2005-T4,2005,4,43314284
2006-T1,2006,1,43400348
2006-T2,2006,2,43721799
2006-T3,2006,3,44551347
2006-T4,2006,4,44715120
2007-T1,2007,1,44472620
2007-T2,2007,2,44735004
2007-T3,2007,3,45040393
2007-T4,2007,4,46040388
2008-T1,2008,1,45625155
2008-T2,2008,2,46046193
2008-T3,2008,3,46126669
2008-T4,2008,4,45923533
2009-T1,2009,1,46146794
2009-T2,2009,2,46627270
2009-T3,2009,3,47909329
2009-T4,2009,4,48076707
2010-T1,2010,1,47223973
2010-T2,2010,2,48343555
2010-T3,2010,3,48395513
2010-T4,2010,4,47690785
2011-T1,2011,1,47717620
2011-T2,2011,2,48664833
2011-T3,2011,3,49306944
2011-T4,2011,4,49919819
2012-T1,2012,1,49354876
2012-T2,2012,2,50611767
2012-T3,2012,3,51056223
2012-T4,2012,4,50451564
2013-T1,2013,1,50002761
2013-T2,2013,2,51040692
2013-T3,2013,3,51183262
2013-T4,2013,4,51506922
2014-T1,2014,1,50715329
2014-T2,2014,2,51004605
2014-T3,2014,3,51364782
2014-T4,2014,4,51277056
2015-T1,2015,1,51176166
2015-T2,2015,2,51800807
2015-T3,2015,3,52368409
2015-T4,2015,4,52997084
2016-T1,2016,1,52141197
2016-T2,2016,2,52760481
2016-T3,2016,3,53465906
2016-T4,2016,4,53296175
2017-T1,2017,1,52967544
2017-T2,2017,2,53377703
2017-T3,2017,3,53702713
2017-T4,2017,4,54032400
2018-T1,2018,1,53936667
2018-T2,2018,2,55039393
2018-T3,2018,3,55390625
2018-T4,2018,4,55519394
2019-T1,2019,1,55578352
2019-T2,2019,2,56547664
2019-T3,2019,3,56976075
2019-T4,2019,4,57277858
2020-T1,2020,1,57014967
2020-T2,2020,2,46978848
2020-T3,2020,3,53571791
2020-T4,2020,4,55653440
2021-T1,2021,1,55385133
2021-T2,2021,2,57668254
2021-T3,2021,3,58307446
2021-T4,2021,4,58761793
2022-T1,2022,1,58085314
2022-T2,2022,2,59338419
2022-T3,2022,3,59480471
2022-T4,2022,4,60145456
2023-T1,2023,1,60089308
2023-T2,2023,2,60216432
2023-T3,2023,3,60992668
2023-T4,2023,4,61042968
2024-T1,2024,1,60663120
2024-T2,2024,2,60953610
2024-T3,2024,3,61370334
2024-T4,2024,4,61055321
2025-T1,2025,1,60491235
2025-T2,2025,2,61065005
2025-T3,2025,3,61303255
