Estado,Anio,PIB_Actual,PIB_Anterior,Variacion_Pct
Aguascalientes,1980,74478.826,0,0
Aguascalientes,1981,82816.058,74478.826,11.19
Aguascalientes,1982,83133.483,82816.058,0.38
Aguascalientes,1983,78800.571,83133.483,-5.21
Aguascalientes,1984,82466.825,78800.571,4.65
Aguascalientes,1985,84980.153,82466.825,3.05
Aguascalientes,1986,81602.73300000001,84980.153,-3.97
Aguascalientes,1987,84379.078,81602.73300000001,3.4
Aguascalientes,1988,86482.199,84379.078,2.49
Aguascalientes,1989,91061.619,86482.199,5.3
Aguascalientes,1990,97895.019,91061.619,7.5
Aguascalientes,1991,103728.741,97895.019,5.96
Aguascalientes,1992,109843.958,103728.741,5.9
Aguascalientes,1993,114706.122,109843.958,4.43
Aguascalientes,1994,121683.61,114706.122,6.08
Aguascalientes,1995,116418.715,121683.61,-4.33
Aguascalientes,1996,124298.764,116418.715,6.77
Aguascalientes,1997,133594.837,124298.764,7.48
Aguascalientes,1998,143027.444,133594.837,7.06
Aguascalientes,1999,145644.385,143027.444,1.83
Aguascalientes,2000,158299.88400000002,145644.385,8.69
Aguascalientes,2001,167309.35,158299.88400000002,5.69
Aguascalientes,2002,174918.428,167309.35,4.55
Aguascalientes,2003,176576.721,174918.428,0.95
Aguascalientes,2004,182404.561,176576.721,3.3
Aguascalientes,2005,185650.542,182404.561,1.78
Aguascalientes,2006,200318.26500000004,185650.542,7.9
Aguascalientes,2007,219091.899,200318.26500000004,9.37
Aguascalientes,2008,218472.947,219091.899,-0.28
Aguascalientes,2009,201960.39600000004,218472.947,-7.56
Aguascalientes,2010,219912.906,201960.39600000004,8.89
Aguascalientes,2011,230510.398,219912.906,4.82
Aguascalientes,2012,242758.40900000004,230510.398,5.31
Aguascalientes,2013,251657.007,242758.40900000004,3.67
Aguascalientes,2014,277675.25800000003,251657.007,10.34
Aguascalientes,2015,294497.17500000005,277675.25800000003,6.06
Aguascalientes,2016,307395.8410000001,294497.17500000005,4.38
Aguascalientes,2017,314242.379,307395.8410000001,2.23
Aguascalientes,2018,327926.30700000003,314242.379,4.35
Aguascalientes,2019,329358.36400000006,327926.30700000003,0.44
Aguascalientes,2020,307125.683,329358.36400000006,-6.75
Aguascalientes,2021,315233.12,307125.683,2.64
Aguascalientes,2022,314602.247,315233.12,-0.2
Aguascalientes,2023,334314.6659999999,314602.247,6.27
Aguascalientes,2024,328087.965,334314.6659999999,-1.86
Baja California,1980,400156.971,0,0
Baja California,1981,451676.827,400156.971,12.87
Baja California,1982,446781.453,451676.827,-1.08
Baja California,1983,406200.113,446781.453,-9.08
Baja California,1984,425488.625,406200.113,4.75
Baja California,1985,437529.217,425488.625,2.83
Baja California,1986,402275.154,437529.217,-8.06
Baja California,1987,414361.763,402275.154,3.0
Baja California,1988,417816.039,414361.763,0.83
Baja California,1989,436724.078,417816.039,4.53
Baja California,1990,467382.396,436724.078,7.02
Baja California,1991,487452.211,467382.396,4.29
Baja California,1992,511546.295,487452.211,4.94
Baja California,1993,513177.249,511546.295,0.32
Baja California,1994,548270.478,513177.249,6.84
Baja California,1995,494337.737,548270.478,-9.84
Baja California,1996,558044.575,494337.737,12.89
Baja California,1997,631004.251,558044.575,13.07
Baja California,1998,662820.8219999999,631004.251,5.04
Baja California,1999,720343.964,662820.8219999999,8.68
Baja California,2000,790646.793,720343.964,9.76
Baja California,2001,730554.237,790646.793,-7.6
Baja California,2002,696088.199,730554.237,-4.72
